ID,FDAT,Calving Season Code,DIMatheat,DIM at Heat Code,Lact,Parity,heat_DATE,Heat Date Code,SB_FHIACBAR,SB_HTSTARTS,SB_HTENDS,SB_PROB,Heat Probability Category,SB_RUMINDEC,SB_RDTIM,SB_RUMHOUR,DC_BRDAT,DC_BRTIM,SIR,Sire Code,BCODE,DC_ACLEV,DC_ACDAT,DC_ACTIM,outcome,AMW5,AMW7,Code for milk @ 7 Weeks,AMW14,M305,CDAT,DCC_IF_P,PDCC,DDRY,EASE,Ease Code,Calf Sex and Survival,TWIN,DOA,OBSERV.,,,,,,,,,
5459,4/4/20,0,98,2,2,Multiparous,7/11/20,1,19:00:00,1:08:00,16:24:00,100,5,YES,18:00:00,6,7/11/20,10,SEXED,2,H,100,7/11/20,1,P ,3400,5050,5,10360,25530,7/11/20,0,284,54,1,No problem,MA       ,S,0,.,,,,,,,,,
4666,7/4/20,1,40,1,3,Multiparous,8/13/20,1,16:00:00,1:08:00,12:27:00,100,5,YES,15:00:00,12,.,.,.,0,.,100,8/13/20,1,.,3320,5110,5,10040,25480,.,.,283,62,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
4261,3/10/20,0,131,3,4,Multiparous,7/19/20,1,16:00:00,1:08:00,16:08:00,100,5,YES,17:00:00,12,7/19/20,14,SEXED,2,H,100,7/19/20,1,P ,3790,5670,5,11690,29890,7/19/20,0,278,50,1,No problem,FA       ,S,0,.,,,,,,,,,
5541,6/16/20,1,50,2,2,Multiparous,8/5/20,1,22:00:00,1:09:00,14:08:00,100,5,YES,19:00:00,6,8/5/20,4,SEXED,2,K,100,8/5/20,1,O ,2690,4170,4,6840,21940,.,.,280,51,1,No problem,MA       ,S,0,CUHT= YES,,,,,,,,,
4511,3/16/20,0,73,2,3,Multiparous,5/28/20,0,NO PROGRESSIVE HIGH ACTIVITY BARS,2:07:00,18:07:00,100,5,YES,22:00:00,7,5/28/20,13,BEEF,1,X,100,5/28/20,2,SOLD,2660,4370,4,9740,22140,.,.,284,56,1,No problem,MA       ,S,0,.,,,,,,,,,
5191,3/11/20,0,136,3,2,Multiparous,7/25/20,1,21:00:00,2:07:00,14:08:00,100,5,YES,19:00:00,7,7/25/20,16,SEXED,2,H,100,7/25/20,2,O ,3340,5000,5,10150,27760,.,.,280,51,1,No problem,FA       ,S,0,.,,,,,,,,,
6396,4/4/20,0,93,2,1,Primiparous,7/6/20,1,NO PROGRESSIVE HIGH ACTIVITY BARS,2:08:00,18:08:00,100,5,YES,21:00:00,9,7/6/20,16,SEXED,2,H,100,7/6/20,2,P ,1900,2740,2,5760,18320,7/6/20,0,276,0,1,No problem,FA       ,S,0,.,,,,,,,,,
6681,7/20/20,1,27,1,1,Primiparous,8/16/20,1,20:00:00,2:08:00,17:08:00,100,5,YES,19:00:00,12,.,.,.,0,.,100,8/16/20,2,.,2090,3180,3,4940,17410,.,.,272,0,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
6091,2/4/20,0,119,3,1,Primiparous,6/2/20,1,22:00:00,2:08:00,20:08:00,100,5,YES,22:00:00,10,6/2/20,5,SEXED,2,K,100,6/2/20,2,O ,2280,3430,3,6750,20670,.,.,286,0,1,No problem,FA       ,S,0,.,,,,,,,,,
6365,3/23/20,0,72,2,1,Primiparous,6/3/20,1,20:00:00,2:08:00,18:08:00,100,5,YES,19:00:00,11,6/3/20,11,SEXED,2,K,100,6/3/20,2,P ,2210,3430,3,7260,22600,6/3/20,0,269,0,1,No problem,FA       ,S,0,.,,,,,,,,,
6407,5/31/20,0,73,2,1,Primiparous,8/12/20,1,18:00:00,2:08:00,18:01:00,100,5,YES,18:00:00,10,8/12/20,13,SEXED,2,K,100,8/12/20,2,O ,2360,3560,3,7080,20830,.,.,264,0,1,No problem,FA       ,S,0,CUHT=YES,,,,,,,,,
6516,5/17/20,0,73,2,1,Primiparous,7/29/20,1,21:00:00,2:08:00,20:09:00,100,5,YES,21:00:00,10,7/29/20,13,SEXED,2,K,100,7/29/20,2,O ,2520,3680,3,7270,19930,.,.,277,0,1,No problem,FA       ,S,0,CUHT=YES,,,,,,,,,
5832,9/9/19,0,306,7,1,Primiparous,7/11/20,1,22:00:00,2:08:00,18:08:00,100,5,YES,22:00:00,7,.,.,.,0,.,100,7/11/20,2,.,2480,3780,3,7840,29330,.,.,266,0,1,No problem,FA       ,S,0,DNB,,,,,,,,,
3838,2/22/20,0,99,2,4,Multiparous,5/31/20,0,19:00:00,2:08:00,16:08:00,100,5,YES,17:00:00,10,5/31/20,17,BEEF,1,H,100,5/31/20,2,P ,2690,4120,4,8140,21690,5/31/20,0,275,47,1,No problem,MA       ,S,0,.,,,,,,,,,
4490,4/23/20,0,57,2,3,Multiparous,6/19/20,1,20:00:00,2:08:00,17:08:00,100,5,YES,19:00:00,8,6/19/20,15,BEEF,1,K,NO DATA= SB-DC SYNCH PROBLEM,NO DATA= SB-DC SYNCH PROBLEM,NO DATA= SB-DC SYNCH PROBLEM,P ,2640,4130,4,8210,21160,6/19/20,0,274,45,1,No problem,FA       ,S,0,.,,,,,,,,,
6478,4/23/20,0,69,2,1,Primiparous,7/1/20,1,22:00:00,2:08:00,16:10:00,100,5,YES,21:00:00,6,7/1/20,16,SEXED,2,K,100,7/1/20,2,P ,2810,4240,4,8350,24210,7/1/20,0,268,0,1,No problem,FA       ,S,0,CUHT=YES,,,,,,,,,
5571,5/30/20,0,43,1,2,Multiparous,7/12/20,1,NO PROGRESSIVE HIGH ACTIVITY BARS,2:08:00,17:08:00,100,5,YES,22:00:00,2,.,.,.,0,.,100,7/12/20,2,.,3110,4600,4,9020,22180,.,.,272,41,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
4535,2/6/20,0,112,3,3,Multiparous,5/28/20,0,0:00:00,2:08:00,19:35:00,100,5,YES,19:00:00,12,5/28/20,13,SEXED,2,O,100,5/28/20,2,O ,3190,5090,5,10800,31580,6/25/20,.,274,46,1,No problem,FA       ,S,0,.,,,,,,,,,
6174,2/3/20,0,143,3,1,Primiparous,6/25/20,1,19:00:00,3:08:00,.,100,5,YES,18:00:00,8,.,.,.,0,.,.,/,.,.,1510,2400,2,5280,19150,6/25/20,0,257,0,1,No problem,FD       ,S,1,2 ALERTS -AI after 2nd one-,,,,,,,,,
6553,5/24/20,0,47,1,1,Primiparous,7/10/20,1,21:00:00,3:08:00,.,100,5,YES,19:00:00,10,.,.,.,0,.,100,7/10/20,3,.,1750,2690,2,5660,16730,.,.,246,0,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
6133,12/25/19,0,185,4,1,Primiparous,6/27/20,1,20:00:00,3:08:00,19:08:00,100,5,NO,.,.,.,.,.,0,.,100,6/27/20,3,.,1910,2990,2,6080,20460,.,.,274,0,1,No problem,FA       ,S,0,DNB,,,,,,,,,
6462,5/14/20,0,48,1,1,Primiparous,7/1/20,1,23:00:00,3:08:00,19:08:00,100,5,YES,20:00:00,6,.,.,.,0,.,100,7/1/20,3,.,2020,3160,3,6510,19100,.,.,267,0,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
6233,2/13/20,0,112,3,1,Primiparous,6/4/20,1,23:00:00,3:08:00,17:08:00,100,5,YES,2:00:00,4,6/4/20,5,SEXED,2,K,100,6/4/20,3,P ,2280,3350,3,6490,19810,6/4/20,0,275,0,1,No problem,FA       ,S,0,.,,,,,,,,,
6091,2/4/20,0,142,3,1,Primiparous,6/25/20,1,20:00:00,3:08:00,.,100,5,YES,18:00:00,6,.,.,.,0,.,.,/,.,.,2280,3430,3,6750,20670,.,.,286,0,1,No problem,FA       ,S,0,2 ALERTS -AI after 2nd one-,,,,,,,,,
6446,4/16/20,0,109,3,1,Primiparous,8/3/20,1,20:00:00,3:08:00,18:12:00,100,5,YES,19:00:00,13,8/3/20,14,BEEF,1,H,100,8/3/20,3,P ,2870,4390,4,8720,26370,.,.,275,0,1,No problem,FA       ,S,0,.,,,,,,,,,
4865,5/5/20,0,40,1,3,Multiparous,6/14/20,1,5:00:00,3:08:00,8:07:00,100,5,YES,6:00:00,7,.,.,.,0,.,100,6/14/20,15,.,2910,4520,4,9280,24160,.,.,277,43,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
4151,11/18/19,0,265,6,3,Multiparous,8/9/20,1,NO PROGRESSIVE HIGH ACTIVITY BARS,3:08:00,21:16:00,100,5,YES,23:00:00,10,.,.,.,0,.,100,8/9/20,3,.,3050,4530,4,8960,25140,.,.,291,63,1,No problem,MA       ,S,0,DNB,,,,,,,,,
4609,4/10/20,0,83,2,3,Multiparous,7/2/20,1,19:00:00,3:08:00,15:07:00,100,5,YES,20:00:00,4,7/2/20,10,BEEF,1,Z,100,7/2/20,3,O ,3390,5140,5,10360,26190,.,.,278,123,1,No problem,FA       ,S,0,,,,,,,,,,
6065,12/5/19,0,209,5,1,Primiparous,7/1/20,1,22:00:00,3:09:00,15:08:00,100,5,YES,21:00:00,10,7/1/20,16,BEEF,1,H,37,7/1/20,3,P ,2040,3260,3,7310,27140,7/1/20,0,276,0,1,No problem,MA       ,S,0,,,,,,,,,,
4889,1/25/20,0,173,4,2,Multiparous,7/16/20,1,19:00:00,3:32:00,21:08:00,100,5,YES,23:00:00,6,7/16/20,6,BEEF,1,H,100,7/16/20,3,P ,2520,3850,3,8000,22250,7/16/20,0,287,61,3,Needed Assistance,MD       ,S,1,.,,,,,,,,,
6276,4/11/20,0,57,2,1,Primiparous,6/7/20,1,14:00:00,4:08:00,19:08:00,100,5,YES,21:00:00,5,.,.,.,0,.,100,6/7/20,4,.,2050,3280,3,7310,24030,7/2/20,.,278,0,3,Needed Assistance,FD       ,S,1,CUHT=NO/DIM=58,,,,,,,,,
6247,5/11/20,0,56,2,1,Primiparous,7/6/20,1,1:00:00,4:08:00,18:10:00,100,5,YES,19:00:00,8,7/6/20,16,BEEF,1,K,100,7/6/20,4,O ,1970,2910,2,5860,17490,.,.,271,0,1,No problem,MA       ,S,0,CUHT=YES,,,,,,,,,
6391,3/31/20,0,82,2,1,Primiparous,6/21/20,1,21:00:00,4:08:00,19:09:00,100,5,YES,22:00:00,7,6/21/20,15,SEXED,2,H,100,6/21/20,4,P ,2050,3180,3,6940,22270,6/21/20,0,273,0,1,No problem,FA       ,S,0,.,,,,,,,,,
6549,6/9/20,1,68,2,1,Primiparous,8/16/20,1,21:00:00,4:08:00,19:07:00,100,5,YES,19:00:00,12,.,.,.,0,.,100,8/16/20,4,.,2160,3260,3,6060,21380,.,.,272,0,1,No problem,FA       ,S,0,CUHT= NO/ DIM= 69,,,,,,,,,
6196,2/15/20,0,116,3,1,Primiparous,6/10/20,1,22:00:00,4:08:00,18:09:00,100,5,NO,.,.,6/10/20,14,BEEF,1,K,100,6/10/20,4,P ,2240,3350,3,6800,22790,6/10/20,0,271,0,1,No problem,FA       ,S,0,.,,,,,,,,,
6104,12/24/19,0,220,5,1,Primiparous,7/31/20,1,11:00:00,4:08:00,.,100,5,YES,3:00:00,7,7/31/20,18,BEEF,1,H,100,7/31/20,4,P ,2340,3480,3,6970,22820,.,.,281,0,1,No problem,MD       ,S,1,.,,,,,,,,,
